E;G;189;61;011;0000;Bockelnhagen;1;1;363;195;53,7;3;192;1;194;62;32,3;53;27,3;36;18,8;35;18,0;70;36,5;68;35,1;11;5,7;18;9,3;6;3,1;10;5,2;5;2,6;6;3,1;0;0;0;0;0;0;0;0;1;0,5;1;0,5;0;0;3;1,5;1;0,5;;
E;;189;61;011;0001;Bockelnhagen 1;1;1;363;195;53,7;3;192;1;194;62;32,3;53;27,3;36;18,8;35;18,0;70;36,5;68;35,1;11;5,7;18;9,3;6;3,1;10;5,2;5;2,6;6;3,1;0;0;0;0;0;0;0;0;1;0,5;1;0,5;0;0;3;1,5;1;0,5;;
E;G;189;61;012;0000;Bodenrode-Westhausen;2;2;986;710;72,0;9;701;7;703;57;8,1;58;8,3;81;11,6;84;11,9;448;63,9;409;58,2;63;9,0;92;13,1;26;3,7;30;4,3;14;2,0;14;2,0;0;0;0;0;0;0;1;0,1;12;1,7;11;1,6;0;0;4;0,6;0;0;;
E;;189;61;012;0001;OT Bodenrode;1;1;406;297;73,2;6;291;4;293;21;7,2;22;7,5;24;8,2;27;9,2;198;68,0;189;64,5;26;8,9;30;10,2;9;3,1;12;4,1;7;2,4;6;2,0;0;0;0;0;0;0;0;0;6;2,1;6;2,0;0;0;1;0,3;0;0;;
E;;189;61;012;0002;OT Westhausen;1;1;580;413;71,2;3;410;3;410;36;8,8;36;8,8;57;13,9;57;13,9;250;61,0;220;53,7;37;9,0;62;15,1;17;4,1;18;4,4;7;1,7;8;2,0;0;0;0;0;0;0;1;0,2;6;1,5;5;1,2;0;0;3;0,7;0;0;;
E;G;189;61;014;0000;Bornhagen;1;1;232;165;71,1;2;163;2;163;35;21,5;33;20,2;44;27,0;44;27,0;47;28,8;47;28,8;9;5,5;13;8,0;8;4,9;9;5,5;17;10,4;11;6,7;0;0;1;0,6;0;0;0;0;3;1,8;0;0;0;0;5;3,1;0;0;;
E;;189;61;014;0001;Bornhagen;1;1;232;165;71,1;2;163;2;163;35;21,5;33;20,2;44;27,0;44;27,0;47;28,8;47;28,8;9;5,5;13;8,0;8;4,9;9;5,5;17;10,4;11;6,7;0;0;1;0,6;0;0;0;0;3;1,8;0;0;0;0;5;3,1;0;0;;
E;G;189;61;015;0000;Brehme;1;1;954;638;66,9;3;635;3;635;57;9,0;61;9,6;67;10,6;67;10,6;419;66,0;382;60,2;55;8,7;83;13,1;8;1,3;12;1,9;20;3,1;19;3,0;0;0;4;0,6;0;0;0;0;8;1,3;3;0,5;0;0;4;0,6;1;0,2;;
E;;189;61;015;0001;Brehme;1;1;954;638;66,9;3;635;3;635;57;9,0;61;9,6;67;10,6;67;10,6;419;66,0;382;60,2;55;8,7;83;13,1;8;1,3;12;1,9;20;3,1;19;3,0;0;0;4;0,6;0;0;0;0;8;1,3;3;0,5;0;0;4;0,6;1;0,2;;
E;G;189;61;017;0000;Breitenworbis;2;2;2986;1654;55,4;14;1640;15;1639;260;15,9;245;14,9;209;12,7;215;13,1;889;54,2;793;48,4;118;7,2;191;11,7;55;3,4;61;3,7;54;3,3;57;3,5;0;0;6;0,4;0;0;1;0,1;52;3,2;40;2,4;0;0;30;1,8;3;0,2;;
E;;189;61;017;0001;Breitenworbis;1;1;1862;1007;54,1;7;1000;9;998;177;17,7;166;16,6;128;12,8;125;12,5;528;52,8;451;45,2;61;6,1;122;12,2;37;3,7;40;4,0;31;3,1;35;3,5;0;0;4;0,4;0;0;1;0,1;36;3,6;34;3,4;0;0;20;2,0;2;0,2;;
E;;189;61;017;0002;Bernterode;1;1;1124;647;57,6;7;640;6;641;83;13,0;79;12,3;81;12,7;90;14,0;361;56,4;342;53,4;57;8,9;69;10,8;18;2,8;21;3,3;23;3,6;22;3,4;0;0;2;0,3;0;0;0;0;16;2,5;6;0,9;0;0;10;1,6;1;0,2;;
